Latitude,Longitude,Time,Common Stop_ID name,60_Common Stop_id,M100_5690,M100_4724,M100_4400,M100_4380,M100_6209,M100_6038,M100_5686,M100_5570,M100_4711,M100_4404,M100_4356,M100_4357,M100_4378,M100_4384,M100_6259,M100_4364,M101_1002,M101_5256,M101_5258,M101_5547,M101_5551,M101_5552,M101_5555,M101_5611,M101_5623,M101_5703,M101_5706,M101_5825,M101_5831,M101_5836,M101_5839,M101_5840
40.804662,-73.937938,8/8/17 04:14,E 125 st/3 av,MTA_403672,223,188,189,94,174,500,351,156,189,158,94,32,81,188,62,126,125,127,471,222,127,346,63,95,282,408,65,126,54,314,442,410
40.804772,-73.938406,8/8/17 04:17,E 125 ST/MADISON AV,MTA_402661,63,59,60,69,45,62,95,78,30,190,31,31,32,31,74,75,53,63,95,122,32,32,68,59,72,31,72,54,55,31,32,31
40.804885,-73.938443,8/8/17 04:45,E 125 ST/PARK AV,MTA_402662,81,63,125,62,63,114,32,79,31,64,32,31,95,31,31,32,64,64,127,126,63,93,69,31,32,93,47,55,54,63,95,99
40.805546,-73.940095,8/8/17 04:47,AMSTERDAM AV/W 150 ST,MTA_402642,81,60,60,63,46,154,189,94,70,104,63,52,82,62,75,63,31,63,32,30,30,33,63,63,31,146,48,54,55,137,151,100
40.806065,-73.94114,8/8/17 05:15,AMSTERDAM AV/W 140 ST,MTA_402646,62,59,63,62,31,115,96,63,71,104,31,52,81,31,74,76,54,64,32,121,63,32,68,31,73,146,47,55,54,63,96,94
40.806487,-73.942576,8/8/17 10:07,E 125 ST/5 AV,MTA_402660,65,31,32,31,31,32,107,31,70,94,67,33,35,97,98,95,64,63,64,129,72,65,69,31,32,126,65,54,63,158,189,61
40.807863,-73.945753,8/8/17 10:08,W 125 ST/MALCOLM X BL,MTA_402659,95,30,93,126,32,124,107,95,95,158,68,95,125,125,124,31,94,158,223,221,127,220,68,157,125,317,137,127,127,127,284,61
40.808195,-73.946167,8/8/17 10:09,AMSTERDAM AV/W 138 ST,MTA_402647,63,156,32,158,94,114,122,64,71,94,125,45,82,125,75,95,157,63,305,349,95,94,158,189,126,221,35,33,55,378,347,127
40.808576,-73.947599,8/8/17 10:11,W 125 ST/FRED DOUGLASS BL,MTA_402657,80,64,62,95,32,187,107,96,70,95,67,36,33,65,95,95,53,63,32,123,95,411,69,59,72,283,32,65,54,93,64,31
40.808981,-73.948563,8/8/17 10:13,W 125 ST/ADAM C POWELL BL,MTA_402658,63,60,94,69,32,62,107,78,95,63,31,32,81,63,63,75,54,64,62,126,64,61,68,59,63,93,48,31,32,63,160,62
40.809806,-73.950102,8/8/17 10:40,W 125 ST/MORNINGSIDE AV,MTA_402723,62,59,63,95,95,115,62,126,64,95,68,126,82,31,74,95,53,64,125,126,158,127,69,97,63,95,47,31,55,96,126,158
40.8103,-73.951263,8/8/17 10:41,AMSTERDAM AV/W 126 ST,MTA_401460,157,125,60,69,31,114,32,32,31,104,67,53,81,63,75,94,95,97,221,127,63,96,125,62,253,221,64,63,54,126,190,125
40.811132,-73.953333,8/8/17 10:43,W 125 ST/ST NICHOLAS AV ,MTA_402656,62,63,60,65,33,115,64,64,63,104,68,52,82,30,74,31,32,31,152,62,32,63,32,60,32,187,48,55,55,95,151,63
40.811533,-73.954554,8/8/17 10:46,W 125 ST/AMSTERDAM AV,MTA_402653,93,126,124,63,31,62,107,79,63,283,94,53,31,31,95,94,32,127,317,124,221,188,68,159,62,408,47,94,54,221,250,125
40.814269,-73.955342,8/8/17 10:47,AMSTERDAM AV/W 129 ST,MTA_401459,32,59,60,94,45,31,94,78,71,63,67,31,31,68,75,31,54,32,31,31,72,93,65,60,73,31,64,54,55,137,151,99
40.815045,-73.955018,8/8/17 10:47,E 125 ST/LEXINGTON AV,MTA_403671,187,156,124,125,62,114,189,126,126,96,95,126,81,158,74,187,187,159,442,226,126,63,63,95,251,188,92,95,218,349,279,282
40.815343,-73.954794,8/8/17 10:49,AMSTERDAM AV/W 136 ST,MTA_402648,62,63,62,32,32,115,62,63,31,104,68,31,82,31,75,64,169,32,127,65,64,63,64,59,125,93,32,55,31,160,151,96
40.815844,-73.954292,8/8/17 10:49,AMSTERDAM AV/W 131 ST,MTA_401458,31,60,32,63,31,114,107,125,62,62,67,95,157,94,94,76,62,93,223,221,221,63,63,31,72,158,63,54,54,137,151,100
40.817476,-73.953229,8/8/17 10:51,AMSTERDAM AV/W 133 ST ,MTA_401448,96,31,60,62,46,115,107,63,70,104,68,53,81,31,74,75,53,64,32,122,63,63,63,60,64,93,48,55,55,137,151,99
40.820753,-73.950867,8/8/17 10:53,AMSTERDAM AV/W 161 ST,MTA_404853,31,124,63,69,31,114,107,62,31,104,93,31,82,63,95,32,54,63,62,62,72,94,32,63,63,63,63,54,54,137,151,100
40.823955,-73.948571,8/8/17 10:53,AMSTERDAM AV/W 145 ST,MTA_402644,81,59,62,63,45,107,157,31,62,63,62,31,160,62,63,31,53,158,156,159,94,33,69,94,62,157,31,32,32,94,218,99
40.825688,-73.947285,8/8/17 10:55,AMSTERDAM AV/W 149 ST,MTA_402523,93,31,31,156,46,115,107,79,71,63,32,52,81,63,75,94,31,31,317,156,32,95,154,31,65,191,31,55,96,154,63,100
40.82692,-73.946429,8/8/17 10:57,AMSTERDAM AV/W 148 ST,MTA_402643,80,31,60,62,31,31,107,32,70,32,67,31,63,32,63,76,63,32,159,126,72,93,96,32,31,94,47,125,55,32,32,31
40.829814,-73.944311,8/8/17 10:58,AMSTERDAM AV/W 152 ST,MTA_402641,81,127,60,69,31,63,31,94,94,94,94,64,62,93,31,63,31,126,126,129,72,31,68,95,32,221,160,127,54,62,157,96
40.831354,-73.943142,8/8/17 11:54,AMSTERDAM AV/W 156 ST,MTA_402639,81,60,64,64,45,94,40,31,71,95,69,53,127,62,31,75,54,64,249,94,32,158,95,59,63,126,48,54,55,137,151,99
40.834092,-73.941194,8/8/17 11:58,AMSTERDAM AV/W 158 ST,MTA_402638,80,32,125,93,64,114,96,126,64,158,103,68,158,63,137,126,53,64,152,63,72,94,69,60,73,146,47,32,54,63,151,31
40.824243,-73.948261,8/8/17 12:24,AMSTERDAM AV/W 143 ST,MTA_402645,81,59,63,69,32,93,107,78,70,62,32,31,32,31,31,31,54,64,64,63,72,94,96,64,31,31,48,55,55,137,151,100